mp-1009770, None
mp-103, SM
mp-1009753, None
mp-542583, SM
mp-991673, SM
mp-21075, TI
mp-2472, trivial
mp-19717, trivial
mp-1623, TI
mp-32, SM
mp-1058151, None
mp-2691, trivial
mp-644481, None
mp-13099, None
mp-1008733, SM
mp-2229, trivial
mp-13098, None
mp-998893, None
mp-2167, SM
mp-1018126, None
mp-1009751, None
mp-1213, SM
mp-2634, SM
mp-580236, SM
mp-49, SM
mp-925, SM
mp-1009720, None
mp-1008283, None
mp-1009533, None
mp-19830, SM
mp-1009601, None
mp-1061272, None
mp-23289, trivial
mp-1009548, None
mp-1009230, None
mp-610917, trivial
mp-1061530, None
mp-18, None
mp-1058171, None
mp-1060432, None
mp-2172, trivial
mp-1056900, None
mp-999484, None
mp-67, SM
mp-1059, SM
mp-136, SM
mp-570891, trivial
mp-1190, trivial
mp-823, SM
mp-2624, trivial
mp-8, SM
mp-1039019, None
mp-614481, SM
mp-1009128, None
mp-906168, TI
mp-1039141, None
mp-999469, None
mp-715461, SM
mp-1057000, None
mp-1001918, None
mp-568705, SM
mp-1039106, None
mp-10908, SM
mp-1065, TI
mp-22746, SM
mp-20494, SM
mp-1057868, SM
mp-2179, SM
mp-990911, None
mp-906175, TI
mp-1057115, SM
mp-1059813, None
mp-990561, SM
mp-2765, SM
mp-1060247, None
mp-1038715, None
mp-1064814, None
mp-991544, SM
mp-11563, SM
mp-1009709, None
mp-1022721, None
mp-1038829, None
mp-1056996, None
mvc-13931, None
mp-1006884, None
mp-1076900, TI
mp-1001839, None
mp-1057086, None
mp-1002217, None
mp-1097924, None
mp-10871, TI
mp-850037, SM
mp-13161, None
mp-12674, SM
mp-1038934, None
mp-561809, SM
mp-1058198, SM
mp-1010071, None
mp-24864, SM
mp-10013, trivial
mp-1610, SM
mp-1611, None
mp-11566, SM
mp-10030, SM
mp-2303, None
mp-11568, None
mp-1009685, None
mp-11575, SM
mp-10054, SM
mp-11576, SM
mp-11577, None
mp-2305, SM
mp-2475, None
mp-11388, SM
mp-1007, None
mp-2778, SM
mp-1820, SM
mp-10108, SM
mp-10109, SM
mp-11555, None
mp-1625, SM
mp-2154, SM
mp-2781, SM
mp-10148, None
mp-10149, SM
mp-1058588, TI
mp-10172, None
mp-10173, None
mp-10177, SM
mp-2027, SM
mp-11718, trivial
mp-2491, TI
mp-1830, SM
mp-1174, None
mp-10192, trivial
mp-2313, SM
mp-2497, SM
mp-2495, SM
mp-1176, SM
mp-11496, SM
mp-1335, SM
mp-11259, SM
mp-11460, SM
mp-11807, None
mp-1635, None
mp-2316, SM
mp-11258, SM
mp-16364, trivial
mp-2502, SM
mp-16365, SM
mp-11832, SM
mp-2163, SM
mp-1837, SM
mp-279, None
mp-11841, SM
mp-11843, SM
mp-2165, None
mp-11254, SM
mp-6938, SM
mp-232, SM
mp-1644, SM
mp-2713, None
mp-1057139, None
mp-1395, SM
mp-217, SM
mp-2516, SM
mp-11245, SM
mp-2520, SM
mp-2522, SM
mp-1199, None
mp-2796, SM
mp-2532, SM
mp-2323, SM
mp-2540, SM
mp-1406, SM
mp-1408, trivial
